data_type,value,date,week_number_year,month_year
se_all,427,08-06-2020,23 2020,June 2020
se_all,406,09-06-2020,23 2020,June 2020
se_all,373,10-06-2020,23 2020,June 2020
se_all,301,11-06-2020,23 2020,June 2020
se_all,271,12-06-2020,23 2020,June 2020
se_all,243,13-06-2020,23 2020,June 2020
se_all,295,14-06-2020,23 2020,June 2020
se_all,363,15-06-2020,24 2020,June 2020
se_all,361,16-06-2020,24 2020,June 2020
se_all,374,17-06-2020,24 2020,June 2020
se_all,355,18-06-2020,24 2020,June 2020
se_all,346,19-06-2020,24 2020,June 2020
se_all,313,20-06-2020,24 2020,June 2020
se_all,316,21-06-2020,24 2020,June 2020
se_all,478,22-06-2020,25 2020,June 2020
se_all,531,23-06-2020,25 2020,June 2020
se_all,440,24-06-2020,25 2020,June 2020
se_all,578,25-06-2020,25 2020,June 2020
se_all,488,26-06-2020,25 2020,June 2020
se_all,437,27-06-2020,25 2020,June 2020
se_all,468,28-06-2020,25 2020,June 2020
se_all,707,29-06-2020,26 2020,June 2020
se_all,628,30-06-2020,26 2020,June 2020
se_all,657,01-07-2020,26 2020,July 2020
se_all,609,02-07-2020,26 2020,July 2020
se_all,474,03-07-2020,26 2020,July 2020
se_all,464,04-07-2020,26 2020,July 2020
se_all,471,05-07-2020,26 2020,July 2020
se_all,618,06-07-2020,27 2020,July 2020
se_all,594,07-07-2020,27 2020,July 2020
se_all,624,08-07-2020,27 2020,July 2020
se_all,560,09-07-2020,27 2020,July 2020
se_all,462,10-07-2020,27 2020,July 2020
se_all,464,11-07-2020,27 2020,July 2020
se_all,469,12-07-2020,27 2020,July 2020
se_all,864,13-07-2020,28 2020,July 2020
se_all,1040,14-07-2020,28 2020,July 2020
se_all,923,15-07-2020,28 2020,July 2020
se_all,985,16-07-2020,28 2020,July 2020
se_all,946,17-07-2020,28 2020,July 2020
se_all,752,18-07-2020,28 2020,July 2020
se_all,822,19-07-2020,28 2020,July 2020
se_all,1146,20-07-2020,29 2020,July 2020
se_all,1165,21-07-2020,29 2020,July 2020
se_all,1094,22-07-2020,29 2020,July 2020
se_all,1094,23-07-2020,29 2020,July 2020
se_all,998,24-07-2020,29 2020,July 2020
se_all,797,25-07-2020,29 2020,July 2020
se_all,893,26-07-2020,29 2020,July 2020
se_all,1184,27-07-2020,30 2020,July 2020
se_all,1235,28-07-2020,30 2020,July 2020
se_all,1066,29-07-2020,30 2020,July 2020
se_all,1122,30-07-2020,30 2020,July 2020
se_all,966,31-07-2020,30 2020,July 2020
se_all,841,01-08-2020,30 2020,August 2020
se_all,1014,02-08-2020,30 2020,August 2020
se_all,1272,03-08-2020,31 2020,August 2020
se_all,1087,04-08-2020,31 2020,August 2020
se_all,632,05-08-2020,31 2020,August 2020
se_all,683,06-08-2020,31 2020,August 2020
se_all,592,07-08-2020,31 2020,August 2020
se_all,458,08-08-2020,31 2020,August 2020
se_all,542,09-08-2020,31 2020,August 2020
se_all,785,10-08-2020,32 2020,August 2020
se_all,761,11-08-2020,32 2020,August 2020
se_all,668,12-08-2020,32 2020,August 2020
se_all,746,13-08-2020,32 2020,August 2020
se_all,675,14-08-2020,32 2020,August 2020
se_all,597,15-08-2020,32 2020,August 2020
se_all,623,16-08-2020,32 2020,August 2020
se_all,833,17-08-2020,33 2020,August 2020
se_all,742,18-08-2020,33 2020,August 2020
se_all,727,19-08-2020,33 2020,August 2020
se_all,786,20-08-2020,33 2020,August 2020
se_all,660,21-08-2020,33 2020,August 2020
se_all,480,22-08-2020,33 2020,August 2020
se_all,626,23-08-2020,33 2020,August 2020
se_all,855,24-08-2020,34 2020,August 2020
se_all,818,25-08-2020,34 2020,August 2020
se_all,761,26-08-2020,34 2020,August 2020
